Metric_ID,Shipment_ID,Delivery_Cost,Delay_Hours,Customer_Priority
MET00001,SHIP00001,290476.03,5,Low
MET00002,SHIP00002,12060.83,6,High
MET00003,SHIP00003,11106.87,17,High
MET00004,SHIP00004,276050.1,6,Low
MET00005,SHIP00005,17135.16,31,Low
MET00006,SHIP00006,11128.8,28,Medium
MET00007,SHIP00007,27572.56,14,Medium
MET00008,SHIP00008,7365.14,0,High
MET00009,SHIP00009,10980.38,16,High
MET00010,SHIP00010,17467.19,24,High
MET00011,SHIP00011,28158.99,7,Medium
MET00012,SHIP00012,37532.45,0,Low
MET00013,SHIP00013,205396.22,7,Low
MET00014,SHIP00014,16960.98,8,Medium
MET00015,SHIP00015,24378.35,6,Low
MET00016,SHIP00016,12548.41,3,High
MET00017,SHIP00017,209064.81,5,Medium
MET00018,SHIP00018,30803.43,12,Low
MET00019,SHIP00019,7600.29,15,High
MET00020,SHIP00020,20170.24,11,Medium
MET00021,SHIP00021,314634.25,13,Low
MET00022,SHIP00022,51391.6,20,Medium
MET00023,SHIP00023,311230.75,1,High
MET00024,SHIP00024,10864.71,4,Low
MET00025,SHIP00025,7793.8,24,Medium
MET00026,SHIP00026,30268.16,16,Low
MET00027,SHIP00027,20251.63,5,Medium
MET00028,SHIP00028,128692.55,13,Medium
MET00029,SHIP00029,18708.44,14,Low
MET00030,SHIP00030,19800.25,17,Medium
MET00031,SHIP00031,33756.28,31,High
MET00032,SHIP00032,17038.79,19,Low
MET00033,SHIP00033,33475.47,19,Low
MET00034,SHIP00034,160387.47,17,Low
MET00035,SHIP00035,23460.84,5,High
MET00036,SHIP00036,86592.05,11,Low
MET00037,SHIP00037,19020.18,18,High
MET00038,SHIP00038,7861.06,2,Low
MET00039,SHIP00039,55950.15,38,Low
MET00040,SHIP00040,5451.63,8,Medium
MET00041,SHIP00041,19298.6,3,High
MET00042,SHIP00042,25805.07,13,High
MET00043,SHIP00043,28636.18,3,Medium
MET00044,SHIP00044,23431.35,13,Low
MET00045,SHIP00045,14077.8,16,Medium
MET00046,SHIP00046,161467.4,7,Low
MET00047,SHIP00047,38301.09,20,High
MET00048,SHIP00048,22074.68,13,Medium
MET00049,SHIP00049,35988.71,27,Medium
MET00050,SHIP00050,52779.8,7,Low
MET00051,SHIP00051,29573.1,11,Low
MET00052,SHIP00052,29135.48,0,Low
