External_ID,Shipment_ID,Weather_Condition,Traffic_Level,Port_Congestion,Holiday_Flag
EXT00001,SHIP00001,Cloudy,Medium,No,No
EXT00002,SHIP00002,Sunny,Low,No,No
EXT00003,SHIP00003,Rainy,Medium,No,No
EXT00004,SHIP00004,Sunny,Medium,No,No
EXT00005,SHIP00005,Storm,Medium,No,No
EXT00006,SHIP00006,Storm,Low,No,No
EXT00007,SHIP00007,Fog,Medium,No,No
EXT00008,SHIP00008,Sunny,Low,No,No
EXT00009,SHIP00009,Sunny,Medium,No,Yes
EXT00010,SHIP00010,Storm,Low,No,No
EXT00011,SHIP00011,Sunny,Medium,No,No
EXT00012,SHIP00012,Sunny,Low,No,No
EXT00013,SHIP00013,Cloudy,Medium,No,No
EXT00014,SHIP00014,Sunny,Medium,No,No
EXT00015,SHIP00015,Sunny,Low,No,No
EXT00016,SHIP00016,Cloudy,Low,No,No
EXT00017,SHIP00017,Sunny,Medium,No,No
EXT00018,SHIP00018,Sunny,High,No,No
EXT00019,SHIP00019,Cloudy,High,No,No
EXT00020,SHIP00020,Rainy,Low,No,No
EXT00021,SHIP00021,Cloudy,Medium,No,Yes
EXT00022,SHIP00022,Sunny,Low,Yes,No
EXT00023,SHIP00023,Sunny,Low,No,No
EXT00024,SHIP00024,Sunny,Low,No,No
EXT00025,SHIP00025,Rainy,High,No,No
EXT00026,SHIP00026,Fog,Medium,No,No
EXT00027,SHIP00027,Sunny,Low,No,No
EXT00028,SHIP00028,Sunny,High,No,No
EXT00029,SHIP00029,Fog,Medium,No,No
EXT00030,SHIP00030,Sunny,High,No,No
EXT00031,SHIP00031,Storm,Medium,No,No
EXT00032,SHIP00032,Rainy,Medium,No,No
EXT00033,SHIP00033,Sunny,Medium,No,Yes
EXT00034,SHIP00034,Rainy,Medium,No,No
EXT00035,SHIP00035,Cloudy,Medium,No,No
EXT00036,SHIP00036,Rainy,Low,No,No
EXT00037,SHIP00037,Rainy,Medium,No,No
EXT00038,SHIP00038,Sunny,Low,No,No
EXT00039,SHIP00039,Storm,High,No,No
EXT00040,SHIP00040,Sunny,Medium,No,No
EXT00041,SHIP00041,Sunny,Low,No,No
EXT00042,SHIP00042,Rainy,Low,No,No
EXT00043,SHIP00043,Cloudy,Low,No,No
EXT00044,SHIP00044,Rainy,Low,No,No
EXT00045,SHIP00045,Rainy,Medium,No,No
EXT00046,SHIP00046,Sunny,Medium,No,No
EXT00047,SHIP00047,Cloudy,High,No,No
EXT00048,SHIP00048,Sunny,High,No,No
EXT00049,SHIP00049,Storm,Low,No,No
EXT00050,SHIP00050,Sunny,Low,No,No
EXT00051,SHIP00051,Sunny,Medium,No,No
EXT00052,SHIP00052,Cloudy,Low,No,No
EXT00053,SHIP00053,Rainy,Low,No,No
EXT00054,SHIP00054,Sunny,Low,No,No
EXT00055,SHIP00055,Sunny,High,No,No
EXT00056,SHIP00056,Sunny,High,No,No
EXT00057,SHIP00057,Cloudy,Medium,No,No
EXT00058,SHIP00058,Sunny,Medium,No,No
EXT00059,SHIP00059,Cloudy,High,No,No
EXT00060,SHIP00060,Cloudy,Medium,No,No
EXT00061,SHIP00061,Sunny,High,No,No
EXT00062,SHIP00062,Storm,Low,No,No
EXT00063,SHIP00063,Storm,Medium,No,No
EXT00064,SHIP00064,Sunny,Medium,No,No
EXT00065,SHIP00065,Cloudy,High,No,No
EXT00066,SHIP00066,Sunny,Medium,No,No
EXT00067,SHIP00067,Cloudy,High,No,No
EXT00068,SHIP00068,Rainy,High,No,No
EXT00069,SHIP00069,Cloudy,High,Yes,No
EXT00070,SHIP00070,Sunny,Low,No,No
EXT00071,SHIP00071,Storm,High,No,Yes
EXT00072,SHIP00072,Rainy,High,No,Yes
EXT00073,SHIP00073,Sunny,Medium,Yes,No
EXT00074,SHIP00074,Rainy,Medium,No,No
EXT00075,SHIP00075,Fog,Medium,No,No
EXT00076,SHIP00076,Rainy,Low,No,No
EXT00077,SHIP00077,Sunny,Low,No,No
EXT00078,SHIP00078,Storm,High,No,No
EXT00079,SHIP00079,Cloudy,Medium,No,No
EXT00080,SHIP00080,Sunny,High,No,No
