Order_ID,Supplier_ID,Warehouse_ID,Customer_Priority
ORD00001,SUP078,WH033,High
ORD00002,SUP155,WH032,Low
ORD00003,SUP171,WH019,Low
ORD00004,SUP175,WH022,Low
ORD00005,SUP088,WH032,Medium
ORD00006,SUP077,WH050,Medium
ORD00007,SUP139,WH003,Medium
ORD00008,SUP224,WH007,Medium
ORD00009,SUP120,WH050,Low
ORD00010,SUP040,WH033,High
ORD00011,SUP128,WH034,Medium
ORD00012,SUP129,WH040,High
ORD00013,SUP213,WH005,High
ORD00014,SUP112,WH044,High
ORD00015,SUP173,WH048,Low
ORD00016,SUP159,WH027,Low
ORD00017,SUP085,WH002,High
ORD00018,SUP084,WH031,Low
ORD00019,SUP114,WH016,Low
ORD00020,SUP237,WH021,Medium
ORD00021,SUP295,WH038,Low
ORD00022,SUP031,WH037,Medium
ORD00023,SUP017,WH034,Low
ORD00024,SUP103,WH030,High
ORD00025,SUP268,WH050,High
ORD00026,SUP238,WH012,Low
ORD00027,SUP098,WH045,Medium
ORD00028,SUP256,WH006,Medium
ORD00029,SUP195,WH016,Low
ORD00030,SUP089,WH023,High
ORD00031,SUP207,WH041,Medium
ORD00032,SUP202,WH037,Low
ORD00033,SUP153,WH037,High
ORD00034,SUP279,WH024,High
ORD00035,SUP200,WH030,High
ORD00036,SUP197,WH014,Medium
ORD00037,SUP268,WH029,High
ORD00038,SUP201,WH044,Low
ORD00039,SUP045,WH039,High
ORD00040,SUP214,WH032,High
ORD00041,SUP199,WH013,High
ORD00042,SUP153,WH023,Medium
ORD00043,SUP064,WH037,High
ORD00044,SUP110,WH038,Low
ORD00045,SUP114,WH035,Medium
ORD00046,SUP025,WH032,High
ORD00047,SUP222,WH021,High
ORD00048,SUP124,WH012,High
ORD00049,SUP111,WH003,Medium
ORD00050,SUP100,WH045,High
ORD00051,SUP212,WH025,Low
ORD00052,SUP176,WH040,High
ORD00053,SUP246,WH018,Low
ORD00054,SUP247,WH007,Medium
ORD00055,SUP268,WH017,High
ORD00056,SUP005,WH032,Low
ORD00057,SUP148,WH046,High
ORD00058,SUP300,WH009,Low
ORD00059,SUP027,WH012,Medium
ORD00060,SUP273,WH038,Medium
ORD00061,SUP202,WH036,High
ORD00062,SUP237,WH048,High
ORD00063,SUP097,WH042,High
ORD00064,SUP186,WH021,Low
ORD00065,SUP217,WH025,Low
ORD00066,SUP167,WH022,High
ORD00067,SUP265,WH027,Medium
ORD00068,SUP105,WH012,Low
ORD00069,SUP126,WH050,High
ORD00070,SUP084,WH004,Low
ORD00071,SUP119,WH032,Low
ORD00072,SUP026,WH021,High
ORD00073,SUP190,WH023,Medium
ORD00074,SUP023,WH007,Medium
ORD00075,SUP001,WH003,High
ORD00076,SUP087,WH038,Low
ORD00077,SUP033,WH044,Medium
ORD00078,SUP188,WH010,Medium
ORD00079,SUP091,WH048,Low
ORD00080,SUP148,WH041,Medium
ORD00081,SUP282,WH036,High
ORD00082,SUP297,WH003,Low
ORD00083,SUP246,WH043,Medium
ORD00084,SUP250,WH029,Low
ORD00085,SUP150,WH044,High
ORD00086,SUP281,WH009,High
ORD00087,SUP235,WH033,Medium
ORD00088,SUP088,WH041,Medium
ORD00089,SUP248,WH043,Medium
ORD00090,SUP147,WH045,High
ORD00091,SUP005,WH003,Low
ORD00092,SUP062,WH002,High
ORD00093,SUP064,WH007,Medium
ORD00094,SUP288,WH044,Low
ORD00095,SUP038,WH025,Low
ORD00096,SUP039,WH011,High
