Shipment_ID,Order_ID,Shipment_Date,Delivery_Date,Delivery_Time
SHIP00001,ORD00001,2026-02-26,2026-03-01,72
SHIP00002,ORD00002,2024-08-10,2024-08-11,24
SHIP00003,ORD00003,2025-04-20,2025-04-28,192
SHIP00004,ORD00004,2025-08-03,2025-08-04,24
SHIP00005,ORD00005,2024-09-12,2024-09-13,24
SHIP00006,ORD00006,2024-10-04,2024-10-13,216
SHIP00007,ORD00007,2025-08-30,2025-09-03,96
SHIP00008,ORD00008,2024-08-25,2024-08-27,48
SHIP00009,ORD00009,2024-11-28,2024-12-06,192
SHIP00010,ORD00010,2024-08-03,2024-08-08,120
SHIP00011,ORD00011,2025-12-05,2025-12-07,48
SHIP00012,ORD00012,2025-01-30,2025-02-03,96
SHIP00013,ORD00013,2025-04-06,2025-04-10,96
SHIP00014,ORD00014,2025-03-29,2025-04-06,192
SHIP00015,ORD00015,2026-02-26,2026-03-09,264
SHIP00016,ORD00016,2025-02-19,2025-02-23,96
SHIP00017,ORD00017,2026-05-09,2026-05-21,288
SHIP00018,ORD00018,2024-11-23,2024-11-28,120
SHIP00019,ORD00019,2026-03-01,2026-03-04,72
SHIP00020,ORD00020,2025-11-18,2025-11-27,216
SHIP00021,ORD00021,2026-05-01,2026-05-10,216
SHIP00022,ORD00022,2026-04-03,2026-04-06,72
SHIP00023,ORD00023,2025-08-24,2025-08-30,144
SHIP00024,ORD00024,2025-02-15,2025-02-18,72
SHIP00025,ORD00025,2025-09-05,2025-09-10,120
SHIP00026,ORD00026,2025-03-30,2025-04-11,288
SHIP00027,ORD00027,2025-08-01,2025-08-06,120
SHIP00028,ORD00028,2025-11-18,2025-11-21,72
SHIP00029,ORD00029,2026-05-11,2026-05-21,240
SHIP00030,ORD00030,2025-08-01,2025-08-10,216
SHIP00031,ORD00031,2025-10-16,2025-10-22,144
SHIP00032,ORD00032,2025-04-01,2025-04-09,192
SHIP00033,ORD00033,2025-02-25,2025-03-09,288
SHIP00034,ORD00034,2026-03-02,2026-03-10,192
SHIP00035,ORD00035,2025-03-25,2025-03-27,48
SHIP00036,ORD00036,2026-04-29,2026-05-11,288
SHIP00037,ORD00037,2025-02-26,2025-03-04,144
SHIP00038,ORD00038,2024-09-19,2024-09-20,24
SHIP00039,ORD00039,2025-08-15,2025-08-26,264
SHIP00040,ORD00040,2026-04-14,2026-04-16,48
SHIP00041,ORD00041,2024-12-17,2024-12-24,168
SHIP00042,ORD00042,2024-09-11,2024-09-16,120
SHIP00043,ORD00043,2024-10-30,2024-10-31,24
SHIP00044,ORD00044,2025-06-09,2025-06-14,120
SHIP00045,ORD00045,2025-02-19,2025-02-23,96
SHIP00046,ORD00046,2025-09-09,2025-09-21,288
SHIP00047,ORD00047,2025-12-01,2025-12-03,48
SHIP00048,ORD00048,2025-12-01,2025-12-02,24
SHIP00049,ORD00049,2026-03-02,2026-03-04,48
SHIP00050,ORD00050,2024-11-28,2024-12-04,144
SHIP00051,ORD00051,2025-11-24,2025-12-03,216
SHIP00052,ORD00052,2026-03-03,2026-03-13,240
SHIP00053,ORD00053,2025-08-02,2025-08-12,240
SHIP00054,ORD00054,2026-01-10,2026-01-17,168
SHIP00055,ORD00055,2025-07-20,2025-07-28,192
SHIP00056,ORD00056,2024-11-20,2024-11-27,168
SHIP00057,ORD00057,2025-04-08,2025-04-19,264
SHIP00058,ORD00058,2025-06-13,2025-06-14,24
SHIP00059,ORD00059,2026-02-13,2026-02-21,192
SHIP00060,ORD00060,2024-10-24,2024-10-30,144
SHIP00061,ORD00061,2025-02-16,2025-02-19,72
SHIP00062,ORD00062,2024-07-29,2024-07-30,24
SHIP00063,ORD00063,2025-01-03,2025-01-07,96
SHIP00064,ORD00064,2025-07-24,2025-08-04,264
SHIP00065,ORD00065,2025-10-10,2025-10-15,120
SHIP00066,ORD00066,2025-04-11,2025-04-23,288
SHIP00067,ORD00067,2026-03-20,2026-04-01,288
SHIP00068,ORD00068,2025-11-02,2025-11-09,168
SHIP00069,ORD00069,2024-10-18,2024-10-24,144
SHIP00070,ORD00070,2025-06-24,2025-06-28,96
SHIP00071,ORD00071,2024-10-03,2024-10-08,120
SHIP00072,ORD00072,2026-06-09,2026-06-15,144
SHIP00073,ORD00073,2025-05-14,2025-05-26,288
SHIP00074,ORD00074,2025-10-15,2025-10-17,48
SHIP00075,ORD00075,2024-07-17,2024-07-25,192
SHIP00076,ORD00076,2026-04-19,2026-04-23,96
SHIP00077,ORD00077,2024-12-30,2025-01-10,264
SHIP00078,ORD00078,2026-01-05,2026-01-12,168
SHIP00079,ORD00079,2026-01-06,2026-01-16,240
SHIP00080,ORD00080,2024-07-17,2024-07-29,288
SHIP00081,ORD00081,2025-06-05,2025-06-10,120
SHIP00082,ORD00082,2025-06-28,2025-07-05,168
SHIP00083,ORD00083,2026-05-21,2026-06-01,264
SHIP00084,ORD00084,2025-10-09,2025-10-17,192
SHIP00085,ORD00085,2025-05-08,2025-05-11,72
SHIP00086,ORD00086,2025-01-13,2025-01-21,192
SHIP00087,ORD00087,2025-09-17,2025-09-24,168
SHIP00088,ORD00088,2026-04-16,2026-04-17,24
SHIP00089,ORD00089,2025-06-18,2025-06-27,216
SHIP00090,ORD00090,2024-11-28,2024-11-29,24
SHIP00091,ORD00091,2025-06-20,2025-06-24,96
SHIP00092,ORD00092,2026-01-27,2026-01-31,96
SHIP00093,ORD00093,2024-11-14,2024-11-20,144
SHIP00094,ORD00094,2025-05-19,2025-05-23,96
SHIP00095,ORD00095,2025-03-20,2025-03-31,264
SHIP00096,ORD00096,2025-10-05,2025-10-15,240
SHIP00097,ORD00097,2025-07-14,2025-07-20,144
SHIP00098,ORD00098,2025-06-28,2025-07-01,72
SHIP00099,ORD00099,2025-06-06,2025-06-08,48
SHIP00100,ORD00100,2024-09-11,2024-09-13,48
