Supplier_ID,Supplier_Name,Supplier_Rating,Supplier_Location
SUP001,"Sule, Bhatti and Peri",4.1,Mumbai
SUP002,Deshmukh PLC,3.7,Bettiah
SUP003,Buch-Kashyap,3.2,Hapur
SUP004,Hora-Bhagat,3.8,Gopalpur
SUP005,Sur-Bhatt,4.9,Bongaigaon
SUP006,Sarna Group,3.8,Shahjahanpur
SUP007,"Balay, Rai and Seth",3.5,Thane
SUP008,Nadkarni-Thakkar,3.6,Dharmavaram
SUP009,Bera-Nadkarni,3.4,Erode
SUP010,Sastry LLC,4.4,Mango
SUP011,Goel-Dhar,4.8,Burhanpur
SUP012,Oak-Iyer,4.1,Guntakal
SUP013,Patel and Sons,5.0,Bharatpur
SUP014,Brar-Date,3.7,Satara
SUP015,"Sama, Agarwal and Doctor",3.2,Tiruvottiyur
SUP016,"Dani, Saraf and Mody",3.8,Aligarh
SUP017,"Chokshi, Sathe and Uppal",4.5,Bidar
SUP018,Kapadia Group,3.7,Sikar
SUP019,Vohra PLC,4.9,Durg
SUP020,Mahajan LLC,3.9,Nellore
SUP021,Sama Group,4.2,Kishanganj
SUP022,Panchal-Radhakrishnan,3.4,Dhule
SUP023,"Sani, Korpal and Srivastava",3.4,Aizawl
SUP024,Savant PLC,3.2,Firozabad
SUP025,"Ahluwalia, Parmar and Pillay",3.4,Bokaro
SUP026,"Sharaf, More and Bhargava",4.1,Jaunpur
SUP027,"Wadhwa, Kakar and Narayan",4.0,Berhampore
SUP028,Lala PLC,4.1,Korba
SUP029,"Sidhu, Srinivasan and Agate",3.6,Durgapur
SUP030,"Sani, Dugar and Chaudhary",3.6,Jhansi
SUP031,Doshi-Gokhale,3.4,Begusarai
SUP032,Patla-Deshmukh,3.1,Unnao
SUP033,"Sant, Nagi and Dutt",4.0,Alappuzha
SUP034,"Bal, Nagi and Lata",3.0,Nellore
SUP035,Salvi and Sons,3.6,Hindupur
SUP036,Hari-Sem,4.0,Dindigul
SUP037,Chandran Inc,3.6,Coimbatore
SUP038,Comar Group,3.6,Silchar
SUP039,Kapur-Bora,3.9,Bhavnagar
SUP040,Sridhar-Pandey,3.8,Kharagpur
SUP041,Varughese-Chana,4.3,Thiruvananthapuram
SUP042,"Sastry, Soni and Gupta",3.8,Rewa
SUP043,Vasa-Chauhan,3.4,Moradabad
SUP044,Mohan-Subramaniam,3.9,Sri Ganganagar
SUP045,Ratta-Handa,4.9,Hyderabad
SUP046,Toor Inc,4.5,Mirzapur
SUP047,Gara Ltd,4.1,Yamunanagar
SUP048,Ganguly-Acharya,4.4,Madanapalle
SUP049,Kumar PLC,4.4,Bhiwani
SUP050,"Deshmukh, Kumer and Mishra",3.5,Chapra
SUP051,"Biswas, Vasa and Din",4.9,Bikaner
SUP052,Cheema-Seshadri,4.7,Srikakulam
SUP053,"Babu, Hegde and Wable",4.2,Jalna
SUP054,Murty and Sons,4.4,Nandyal
SUP055,"Yogi, Amble and Mall",3.3,Pallavaram
SUP056,Ghose Ltd,3.8,Giridih
SUP057,Krishnan and Sons,4.4,Aurangabad
SUP058,Bala-Swaminathan,4.4,Shimla
SUP059,Sane Ltd,4.5,Sangli-Miraj & Kupwad
SUP060,Hegde-Shetty,4.8,Rajpur Sonarpur
SUP061,Borah-Varghese,3.3,Hazaribagh
SUP062,Barad-Dugar,3.9,Ujjain
SUP063,Shenoy LLC,3.9,Bangalore
SUP064,Sethi-Krishna,4.3,Singrauli
SUP065,Mallick Group,4.4,Nangloi Jat
SUP066,"Sarin, Tara and Parikh",3.5,Ambala
SUP067,Trivedi and Sons,4.8,Jehanabad
SUP068,"Kara, Deshpande and Bhavsar",4.8,Ahmedabad
SUP069,"Tak, Karpe and Toor",4.2,Bardhaman
SUP070,"Edwin, Choudhry and Raghavan",4.6,Ulhasnagar
SUP071,"Brahmbhatt, Srinivas and Agarwal",3.2,Jabalpur
SUP072,Bandi-Walla,4.7,Karaikudi
SUP073,"Bala, Loyal and Srivastava",4.2,Chittoor
SUP074,Morar-Acharya,3.3,Siliguri
SUP075,"Agate, Atwal and Mohan",3.5,Karawal Nagar
SUP076,Chacko-Sarraf,4.0,Cuttack
SUP077,Upadhyay PLC,3.3,Tiruchirappalli
SUP078,"Khurana, Ramesh and Sha",4.1,Howrah
SUP079,"Ganesh, Kunda and De",4.6,Dehri
SUP080,Mangat Ltd,4.5,Solapur
SUP081,Sahni Group,4.6,Ballia
SUP082,Majumdar and Sons,4.0,Rajpur Sonarpur
SUP083,Bhagat Inc,4.4,Ludhiana
SUP084,"Dewan, Uppal and Bose",4.8,Sri Ganganagar
SUP085,"Lal, Bahl and Krishna",3.8,Proddatur
SUP086,Nagi-Chad,4.6,Morena
SUP087,"Kala, Issac and Radhakrishnan",3.1,Secunderabad
SUP088,"Dara, Sankaran and Mutti",3.9,Pune
SUP089,Gara-Koshy,3.3,Tezpur
