Target_ID,Shipment_ID,Disruption_Status
TAR00001,SHIP00001,No
TAR00002,SHIP00002,No
TAR00003,SHIP00003,No
TAR00004,SHIP00004,No
TAR00005,SHIP00005,Yes
TAR00006,SHIP00006,Yes
TAR00007,SHIP00007,No
TAR00008,SHIP00008,No
TAR00009,SHIP00009,No
TAR00010,SHIP00010,Yes
TAR00011,SHIP00011,No
TAR00012,SHIP00012,No
TAR00013,SHIP00013,No
TAR00014,SHIP00014,No
TAR00015,SHIP00015,No
TAR00016,SHIP00016,No
TAR00017,SHIP00017,No
TAR00018,SHIP00018,Yes
TAR00019,SHIP00019,Yes
TAR00020,SHIP00020,No
TAR00021,SHIP00021,No
TAR00022,SHIP00022,Yes
TAR00023,SHIP00023,No
TAR00024,SHIP00024,No
TAR00025,SHIP00025,Yes
TAR00026,SHIP00026,No
TAR00027,SHIP00027,No
TAR00028,SHIP00028,Yes
TAR00029,SHIP00029,No
TAR00030,SHIP00030,Yes
TAR00031,SHIP00031,Yes
TAR00032,SHIP00032,No
TAR00033,SHIP00033,No
TAR00034,SHIP00034,No
TAR00035,SHIP00035,No
TAR00036,SHIP00036,No
TAR00037,SHIP00037,No
TAR00038,SHIP00038,No
TAR00039,SHIP00039,Yes
TAR00040,SHIP00040,No
TAR00041,SHIP00041,No
TAR00042,SHIP00042,No
TAR00043,SHIP00043,No
TAR00044,SHIP00044,No
TAR00045,SHIP00045,No
TAR00046,SHIP00046,No
TAR00047,SHIP00047,Yes
TAR00048,SHIP00048,Yes
TAR00049,SHIP00049,Yes
TAR00050,SHIP00050,No
TAR00051,SHIP00051,No
TAR00052,SHIP00052,No
TAR00053,SHIP00053,No
TAR00054,SHIP00054,No
TAR00055,SHIP00055,Yes
TAR00056,SHIP00056,Yes
TAR00057,SHIP00057,No
TAR00058,SHIP00058,No
TAR00059,SHIP00059,Yes
TAR00060,SHIP00060,No
TAR00061,SHIP00061,Yes
TAR00062,SHIP00062,Yes
TAR00063,SHIP00063,Yes
TAR00064,SHIP00064,No
TAR00065,SHIP00065,Yes
TAR00066,SHIP00066,No
TAR00067,SHIP00067,Yes
TAR00068,SHIP00068,Yes
TAR00069,SHIP00069,Yes
TAR00070,SHIP00070,No
TAR00071,SHIP00071,Yes
TAR00072,SHIP00072,Yes
TAR00073,SHIP00073,Yes
TAR00074,SHIP00074,No
TAR00075,SHIP00075,No
TAR00076,SHIP00076,No
TAR00077,SHIP00077,No
TAR00078,SHIP00078,Yes
TAR00079,SHIP00079,No
TAR00080,SHIP00080,Yes
TAR00081,SHIP00081,Yes
TAR00082,SHIP00082,No
TAR00083,SHIP00083,No
TAR00084,SHIP00084,Yes
TAR00085,SHIP00085,No
TAR00086,SHIP00086,No
TAR00087,SHIP00087,No
TAR00088,SHIP00088,Yes
TAR00089,SHIP00089,Yes
TAR00090,SHIP00090,No
TAR00091,SHIP00091,Yes
TAR00092,SHIP00092,No
TAR00093,SHIP00093,No
TAR00094,SHIP00094,Yes
TAR00095,SHIP00095,Yes
TAR00096,SHIP00096,Yes
TAR00097,SHIP00097,No
TAR00098,SHIP00098,Yes
TAR00099,SHIP00099,No
TAR00100,SHIP00100,No
TAR00101,SHIP00101,Yes
TAR00102,SHIP00102,Yes
TAR00103,SHIP00103,No
TAR00104,SHIP00104,No
TAR00105,SHIP00105,No
TAR00106,SHIP00106,No
TAR00107,SHIP00107,No
TAR00108,SHIP00108,Yes
TAR00109,SHIP00109,No
TAR00110,SHIP00110,No
TAR00111,SHIP00111,No
TAR00112,SHIP00112,No
TAR00113,SHIP00113,Yes
TAR00114,SHIP00114,No
TAR00115,SHIP00115,No
TAR00116,SHIP00116,No
TAR00117,SHIP00117,No
TAR00118,SHIP00118,No
TAR00119,SHIP00119,No
TAR00120,SHIP00120,No
TAR00121,SHIP00121,No
TAR00122,SHIP00122,No
TAR00123,SHIP00123,No
TAR00124,SHIP00124,No
TAR00125,SHIP00125,Yes
TAR00126,SHIP00126,No
TAR00127,SHIP00127,No
TAR00128,SHIP00128,No
TAR00129,SHIP00129,No
TAR00130,SHIP00130,No
TAR00131,SHIP00131,No
TAR00132,SHIP00132,Yes
TAR00133,SHIP00133,Yes
TAR00134,SHIP00134,No
TAR00135,SHIP00135,No
TAR00136,SHIP00136,No
TAR00137,SHIP00137,Yes
TAR00138,SHIP00138,No
TAR00139,SHIP00139,No
TAR00140,SHIP00140,No
TAR00141,SHIP00141,Yes
TAR00142,SHIP00142,Yes
TAR00143,SHIP00143,No
TAR00144,SHIP00144,Yes
TAR00145,SHIP00145,No
TAR00146,SHIP00146,Yes
TAR00147,SHIP00147,Yes
TAR00148,SHIP00148,Yes
TAR00149,SHIP00149,Yes
TAR00150,SHIP00150,No
TAR00151,SHIP00151,No
TAR00152,SHIP00152,No
TAR00153,SHIP00153,No
TAR00154,SHIP00154,No
TAR00155,SHIP00155,No
TAR00156,SHIP00156,No
TAR00157,SHIP00157,Yes
TAR00158,SHIP00158,Yes
TAR00159,SHIP00159,Yes
TAR00160,SHIP00160,No
TAR00161,SHIP00161,No
TAR00162,SHIP00162,No
TAR00163,SHIP00163,No
TAR00164,SHIP00164,Yes
TAR00165,SHIP00165,No
TAR00166,SHIP00166,Yes
TAR00167,SHIP00167,No
TAR00168,SHIP00168,Yes
TAR00169,SHIP00169,No
TAR00170,SHIP00170,Yes
TAR00171,SHIP00171,Yes
TAR00172,SHIP00172,Yes
TAR00173,SHIP00173,No
TAR00174,SHIP00174,Yes
TAR00175,SHIP00175,No
TAR00176,SHIP00176,No
TAR00177,SHIP00177,No
TAR00178,SHIP00178,Yes
TAR00179,SHIP00179,No
TAR00180,SHIP00180,No
TAR00181,SHIP00181,No
TAR00182,SHIP00182,No
TAR00183,SHIP00183,No
TAR00184,SHIP00184,No
TAR00185,SHIP00185,Yes
TAR00186,SHIP00186,Yes
TAR00187,SHIP00187,No
TAR00188,SHIP00188,No
TAR00189,SHIP00189,No
TAR00190,SHIP00190,No
TAR00191,SHIP00191,No
TAR00192,SHIP00192,No
TAR00193,SHIP00193,No
TAR00194,SHIP00194,Yes
TAR00195,SHIP00195,No
TAR00196,SHIP00196,No
TAR00197,SHIP00197,No
TAR00198,SHIP00198,No
TAR00199,SHIP00199,No
TAR00200,SHIP00200,No
TAR00201,SHIP00201,Yes
TAR00202,SHIP00202,No
TAR00203,SHIP00203,No
TAR00204,SHIP00204,No
TAR00205,SHIP00205,Yes
TAR00206,SHIP00206,No
TAR00207,SHIP00207,Yes
TAR00208,SHIP00208,Yes
TAR00209,SHIP00209,No
TAR00210,SHIP00210,Yes
TAR00211,SHIP00211,No
TAR00212,SHIP00212,Yes
TAR00213,SHIP00213,Yes
TAR00214,SHIP00214,No
TAR00215,SHIP00215,Yes
TAR00216,SHIP00216,Yes
TAR00217,SHIP00217,No
TAR00218,SHIP00218,No
TAR00219,SHIP00219,No
TAR00220,SHIP00220,No
TAR00221,SHIP00221,Yes
TAR00222,SHIP00222,No
TAR00223,SHIP00223,No
TAR00224,SHIP00224,Yes
TAR00225,SHIP00225,Yes
TAR00226,SHIP00226,Yes
TAR00227,SHIP00227,No
TAR00228,SHIP00228,Yes
TAR00229,SHIP00229,Yes
TAR00230,SHIP00230,No
TAR00231,SHIP00231,No
TAR00232,SHIP00232,No
TAR00233,SHIP00233,No
TAR00234,SHIP00234,Yes
TAR00235,SHIP00235,Yes
TAR00236,SHIP00236,Yes
TAR00237,SHIP00237,No
TAR00238,SHIP00238,No
TAR00239,SHIP00239,Yes
TAR00240,SHIP00240,No
TAR00241,SHIP00241,No
TAR00242,SHIP00242,Yes
TAR00243,SHIP00243,No
TAR00244,SHIP00244,Yes
TAR00245,SHIP00245,No
TAR00246,SHIP00246,Yes
TAR00247,SHIP00247,Yes
TAR00248,SHIP00248,Yes
TAR00249,SHIP00249,No
TAR00250,SHIP00250,No
TAR00251,SHIP00251,No
TAR00252,SHIP00252,No
TAR00253,SHIP00253,Yes
TAR00254,SHIP00254,No
TAR00255,SHIP00255,No
TAR00256,SHIP00256,Yes
TAR00257,SHIP00257,No
TAR00258,SHIP00258,No
TAR00259,SHIP00259,Yes
TAR00260,SHIP00260,No
TAR00261,SHIP00261,No
TAR00262,SHIP00262,Yes
TAR00263,SHIP00263,Yes
TAR00264,SHIP00264,No
TAR00265,SHIP00265,No
TAR00266,SHIP00266,No
TAR00267,SHIP00267,No
TAR00268,SHIP00268,No
TAR00269,SHIP00269,Yes
TAR00270,SHIP00270,No
TAR00271,SHIP00271,No
