Transport_ID,Shipment_ID,Transport_Mode,Route_Distance,Fuel_Cost
TR00001,SHIP00001,Air,4496,131664.03
TR00002,SHIP00002,Rail,741,4662.83
TR00003,SHIP00003,Truck,462,4556.87
TR00004,SHIP00004,Air,4744,108940.1
TR00005,SHIP00005,Ship,1530,6855.16
TR00006,SHIP00006,Truck,449,4210.8
TR00007,SHIP00007,Truck,1182,11504.56
TR00008,SHIP00008,Rail,392,2658.14
TR00009,SHIP00009,Truck,424,4589.38
TR00010,SHIP00010,Truck,677,7849.19
TR00011,SHIP00011,Rail,2028,10248.99
TR00012,SHIP00012,Rail,2390,16581.45
TR00013,SHIP00013,Air,3501,81623.22
TR00014,SHIP00014,Truck,658,7120.98
TR00015,SHIP00015,Rail,1710,9951.35
TR00016,SHIP00016,Truck,470,5033.41
TR00017,SHIP00017,Air,3401,88422.81
TR00018,SHIP00018,Rail,2179,12184.43
TR00019,SHIP00019,Truck,281,2865.29
TR00020,SHIP00020,Rail,1329,7861.24
TR00021,SHIP00021,Air,4513,155236.25
TR00022,SHIP00022,Ship,6200,12985.6
TR00023,SHIP00023,Air,4814,141504.75
TR00024,SHIP00024,Rail,624,3812.71
TR00025,SHIP00025,Truck,290,3217.8
TR00026,SHIP00026,Truck,1180,14404.16
TR00027,SHIP00027,Rail,1581,6493.63
TR00028,SHIP00028,Air,1925,59773.55
TR00029,SHIP00029,Rail,1269,7131.44
TR00030,SHIP00030,Rail,1503,6313.25
TR00031,SHIP00031,Rail,2432,13038.28
TR00032,SHIP00032,Truck,703,7225.79
TR00033,SHIP00033,Ship,3542,11033.47
TR00034,SHIP00034,Air,2757,62312.47
TR00035,SHIP00035,Rail,1671,8036.84
TR00036,SHIP00036,Air,1240,42352.05
TR00037,SHIP00037,Rail,1189,8207.18
TR00038,SHIP00038,Truck,283,3139.06
TR00039,SHIP00039,Ship,5219,23453.15
TR00040,SHIP00040,Truck,186,2082.63
TR00041,SHIP00041,Truck,849,8269.6
TR00042,SHIP00042,Truck,1101,11147.07
TR00043,SHIP00043,Truck,1156,13422.18
TR00044,SHIP00044,Truck,950,10208.35
TR00045,SHIP00045,Truck,513,6498.8
TR00046,SHIP00046,Air,2763,62962.4
TR00047,SHIP00047,Ship,3935,13473.09
TR00048,SHIP00048,Truck,834,10606.68
TR00049,SHIP00049,Rail,2378,15863.71
TR00050,SHIP00050,Ship,6029,14983.8
TR00051,SHIP00051,Rail,2081,11197.1
TR00052,SHIP00052,Truck,1150,14051.48
TR00053,SHIP00053,Truck,678,7627.3
TR00054,SHIP00054,Truck,1168,14305.58
TR00055,SHIP00055,Rail,1766,12229.81
TR00056,SHIP00056,Rail,2136,12344.86
TR00057,SHIP00057,Rail,2056,11433.07
TR00058,SHIP00058,Truck,530,6779.41
TR00059,SHIP00059,Air,2759,91728.35
TR00060,SHIP00060,Air,1797,41674.34
TR00061,SHIP00061,Rail,780,4754.16
TR00062,SHIP00062,Ship,1380,5186.94
TR00063,SHIP00063,Rail,908,6090.93
TR00064,SHIP00064,Air,3201,91682.42
TR00065,SHIP00065,Truck,631,7364.82
TR00066,SHIP00066,Air,4964,161430.12
TR00067,SHIP00067,Rail,1605,6674.05
TR00068,SHIP00068,Rail,1477,8720.7
TR00069,SHIP00069,Ship,3668,15348.69
TR00070,SHIP00070,Ship,1773,5230.82
TR00071,SHIP00071,Truck,161,2089.57
TR00072,SHIP00072,Truck,709,7322.0
TR00073,SHIP00073,Ship,6402,13896.47
TR00074,SHIP00074,Truck,1024,12793.02
TR00075,SHIP00075,Truck,217,2260.23
TR00076,SHIP00076,Truck,682,7172.94
TR00077,SHIP00077,Truck,1011,11789.35
TR00078,SHIP00078,Rail,1039,4202.26
TR00079,SHIP00079,Truck,186,2105.24
TR00080,SHIP00080,Ship,4560,14340.62
TR00081,SHIP00081,Ship,4192,14788.23
TR00082,SHIP00082,Rail,1860,9683.66
TR00083,SHIP00083,Air,1669,47470.39
TR00084,SHIP00084,Truck,1015,11262.56
TR00085,SHIP00085,Rail,2157,10231.44
TR00086,SHIP00086,Truck,798,8587.29
TR00087,SHIP00087,Ship,6037,19453.62
TR00088,SHIP00088,Air,4974,160686.5
TR00089,SHIP00089,Ship,4263,16306.91
TR00090,SHIP00090,Truck,244,2975.24
TR00091,SHIP00091,Ship,5412,24724.15
TR00092,SHIP00092,Truck,523,5959.01
TR00093,SHIP00093,Truck,667,6874.37
TR00094,SHIP00094,Truck,658,6040.99
TR00095,SHIP00095,Ship,4399,21758.64
TR00096,SHIP00096,Truck,1194,12605.53
TR00097,SHIP00097,Truck,606,7793.16
TR00098,SHIP00098,Rail,1513,7963.7
TR00099,SHIP00099,Truck,181,2102.09
TR00100,SHIP00100,Air,4749,163350.22
TR00101,SHIP00101,Truck,278,3316.16
TR00102,SHIP00102,Air,4412,150607.02
TR00103,SHIP00103,Rail,1251,6685.37
TR00104,SHIP00104,Truck,253,3122.67
TR00105,SHIP00105,Truck,594,7691.0
TR00106,SHIP00106,Truck,486,5873.26
TR00107,SHIP00107,Rail,1900,12045.43
TR00108,SHIP00108,Truck,459,5076.07
TR00109,SHIP00109,Air,1652,42409.81
TR00110,SHIP00110,Truck,219,2301.79
TR00111,SHIP00111,Ship,1670,5437.79
TR00112,SHIP00112,Truck,630,5828.66
TR00113,SHIP00113,Truck,133,1598.99
TR00114,SHIP00114,Rail,1245,6162.51
TR00115,SHIP00115,Truck,1082,9746.53
TR00116,SHIP00116,Truck,1089,11147.44
TR00117,SHIP00117,Truck,109,1415.96
TR00118,SHIP00118,Truck,166,2053.85
TR00119,SHIP00119,Truck,423,4992.85
TR00120,SHIP00120,Truck,157,1809.95
TR00121,SHIP00121,Air,1081,25999.47
TR00122,SHIP00122,Air,3519,94883.79
TR00123,SHIP00123,Rail,2088,8601.06
TR00124,SHIP00124,Truck,833,9896.79
TR00125,SHIP00125,Truck,256,2793.53
TR00126,SHIP00126,Ship,1913,8716.45
TR00127,SHIP00127,Truck,377,4010.31
TR00128,SHIP00128,Truck,104,1180.33
TR00129,SHIP00129,Truck,559,5542.0
TR00130,SHIP00130,Air,3686,114322.76
TR00131,SHIP00131,Air,1311,40575.51
TR00132,SHIP00132,Ship,4306,18980.85
TR00133,SHIP00133,Rail,397,1790.33
TR00134,SHIP00134,Ship,1752,7792.25
TR00135,SHIP00135,Air,3705,90894.53
TR00136,SHIP00136,Rail,969,5331.34
TR00137,SHIP00137,Ship,1276,4882.57
TR00138,SHIP00138,Rail,2022,13828.43
TR00139,SHIP00139,Truck,675,8145.49
TR00140,SHIP00140,Rail,1168,8129.3
TR00141,SHIP00141,Ship,1173,5802.7
TR00142,SHIP00142,Truck,710,8467.35
TR00143,SHIP00143,Truck,85,1058.89
TR00144,SHIP00144,Rail,1241,6189.01
TR00145,SHIP00145,Truck,1155,12747.19
TR00146,SHIP00146,Truck,1158,14430.71
TR00147,SHIP00147,Truck,638,7644.31
TR00148,SHIP00148,Truck,326,2957.03
TR00149,SHIP00149,Ship,2683,10133.24
TR00150,SHIP00150,Air,1720,52009.14
TR00151,SHIP00151,Truck,893,10547.02
TR00152,SHIP00152,Ship,4532,19259.53
TR00153,SHIP00153,Truck,1007,10998.09
TR00154,SHIP00154,Truck,1115,13998.96
TR00155,SHIP00155,Rail,1061,6729.72
TR00156,SHIP00156,Truck,412,4915.57
TR00157,SHIP00157,Truck,1117,12289.01
TR00158,SHIP00158,Truck,612,7202.78
TR00159,SHIP00159,Truck,107,1316.18
TR00160,SHIP00160,Air,4757,147668.99
TR00161,SHIP00161,Truck,612,5914.35
TR00162,SHIP00162,Rail,1465,6047.87
TR00163,SHIP00163,Truck,707,9133.34
TR00164,SHIP00164,Truck,336,4213.33
TR00165,SHIP00165,Truck,359,3518.17
TR00166,SHIP00166,Truck,776,9446.73
TR00167,SHIP00167,Truck,580,7087.85
TR00168,SHIP00168,Truck,1076,11625.56
TR00169,SHIP00169,Truck,83,767.63
TR00170,SHIP00170,Ship,2662,11417.69
TR00171,SHIP00171,Air,3946,128255.44
TR00172,SHIP00172,Ship,4149,15121.29
TR00173,SHIP00173,Truck,734,6792.89
TR00174,SHIP00174,Truck,113,1405.77
TR00175,SHIP00175,Rail,749,4803.19
TR00176,SHIP00176,Truck,1160,14097.68
TR00177,SHIP00177,Truck,1145,12593.09
TR00178,SHIP00178,Rail,1023,5101.05
TR00179,SHIP00179,Rail,2323,12378.55
TR00180,SHIP00180,Air,1072,36905.39
TR00181,SHIP00181,Truck,184,1979.39
