Warehouse_ID,Warehouse_City,Warehouse_Capacity
WH001,Purnia,8380
WH002,Bilaspur,6394
WH003,Rampur,13417
WH004,Berhampur,12885
WH005,Gwalior,7645
WH006,Pimpri-Chinchwad,8923
WH007,Faridabad,9029
WH008,Alappuzha,14304
WH009,Pune,6139
WH010,Bharatpur,5027
WH011,Secunderabad,10067
WH012,Bokaro,11593
WH013,Vijayanagaram,4984
WH014,Anand,11013
WH015,Jammu,5791
WH016,Allahabad,10720
WH017,Ambarnath,6975
WH018,Patna,13821
WH019,Fatehpur,11407
WH020,Nagpur,9970
WH021,Gandhidham,9015
WH022,Muzaffarnagar,13393
WH023,Shivpuri,10065
WH024,Meerut,10620
WH025,Thane,13772
WH026,Mira-Bhayandar,12571
WH027,Chittoor,4691
WH028,Kottayam,11957
WH029,Erode,12194
WH030,Mehsana,5965
WH031,Bareilly,8968
WH032,Bhiwandi,6985
WH033,Phagwara,4799
WH034,Kanpur,4827
WH035,Ramagundam,4263
WH036,Patna,9676
WH037,Alwar,4972
WH038,Raurkela Industrial Township,5375
WH039,Bidhannagar,14059
WH040,Danapur,8974
WH041,Ahmedabad,9684
WH042,Nanded,5120
WH043,Kadapa,8145
WH044,Fatehpur,10924
WH045,Kadapa,10489
WH046,Chinsurah,14143
WH047,Meerut,8746
WH048,Pali,11882
WH049,Durgapur,5029
WH050,Thanjavur,12348
